State,Sex_Contraception,Sex_Abstinence,Sex_Marriage,Sex_Orientation,Sex_Negative_Outcomes,HIV_Condoms,HIV_Abstinence
Alabama,2,-1,2,-1,0,2,-1
Arizona,0,-1,0,0,2,0,-1
Arkansas,0,-1,2,0,0,0,-1
California,2,1,0,1,0,2,1
Colorado,2,-1,0,1,2,2,1
Connecticut,2,1,0,1,2,0,0
Delaware,2,-1,0,1,0,2,-1
Dist. of Columbia,2,1,0,1,2,0,1
Florida,0,-1,2,-1,2,0,-1
Georgia,0,-1,2,0,0,0,1
Hawaii,2,-1,0,0,0,2,-1
Idaho,0,-1,0,0,0,0,0
Illinois,2,-1,2,-1,2,2,-1
Indiana,0,-1,2,0,2,0,-1
Iowa,0,0,0,1,0,0,0
Kentucky,0,-1,0,0,0,0,0
Louisiana,0,-1,2,0,0,0,-1
Maine,2,-1,0,0,0,2,-1
Maryland,2,1,0,1,0,2,1
Michigan,0,-1,2,0,0,0,-1
Minnesota,0,0,0,0,0,0,1
MississippiΩ,0,-1,2,0,2,0,-1
Missouri,0,-1,2,0,2,0,-1
New Hampshire,0,1,0,0,0,0,1
New Jersey,2,-1,0,1,2,2,-1
New Mexico,2,1,0,1,2,2,-1
New York,0,0,0,0,0,0,-1
North Carolina,2,-1,2,0,2,2,-1
North Dakota,0,1,2,0,2,0,0
Ohio,0,-1,2,0,2,0,-1
Oklahoma,0,-1,0,-2,0,2,-1
Oregon,2,-1,0,1,0,2,-1
Pennsylvania,0,0,0,0,0,0,-1
Rhode Island,2,-1,0,1,2,2,-1
South Carolina,2,-1,2,-1,0,0,-1
South Dakota,0,1,0,0,0,0,0
Tennessee,0,-1,2,0,2,0,-1
Texas,2,-1,2,-1,2,2,-1
Utahξ,0,-1,2,0,0,0,-1
Vermont,2,1,0,0,2,2,1
Virginia,2,1,2,0,2,2,1
Washington,2,-1,0,1,0,2,-1
West Virginia,2,1,0,0,2,2,1
Wisconsin,0,-1,2,0,0,0,-1
