State,Sex_Mandated,HIV_Mandated,Medically_Accurate,Age_Appropriate,Unbiased,Cannot_Promote_Religion,Parents_Notified,Parental_Consent,Opt_Out
Alabama,0,3,0,3,0,0,0,0,3
Alaska,0,0,0,0,0,0,3,0,3
Arizona,0,0,1,3,0,0,3,2,1
Arkansas,0,3,0,0,0,0,0,0,0
California,3,3,3,3,3,3,3,0,3
Colorado,0,0,0,3,3,3,3,0,3
Connecticut,0,3,0,0,0,0,0,0,3
Delaware,3,3,0,0,0,0,0,0,0
Dist. of Columbia,3,3,0,3,0,0,3,0,3
Florida,3,3,0,3,0,0,0,0,3
Georgia,3,3,0,0,0,0,3,0,3
Hawaii,3,3,3,3,0,0,0,0,3
Idaho,0,0,0,0,0,0,0,0,3
Illinois,0,3,3,3,0,0,0,0,3
Indiana†,0,3,0,0,0,0,3,0,3
Iowa,3,3,3,3,3,0,3,0,3
Kansas,3,0,0,0,0,0,0,0,0
Kentucky,3,3,0,0,0,0,0,0,0
Louisiana,0,0,3,0,0,3,0,0,3
Maine,3,3,3,3,0,0,0,0,3
Maryland,3,3,0,0,0,0,3,0,3
Massachusetts,0,0,0,0,3,0,3,0,3
Michigan,0,3,0,0,0,0,3,0,3
Minnesota,3,3,0,0,0,0,0,0,0
MississippiΩ,3,0,0,3,0,0,3,3,0
Missouri,0,3,3,3,0,0,3,0,3
Montana,3,3,0,3,0,0,0,0,0
Nevada,3,3,0,3,0,0,3,3,0
New Hampshire,3,3,0,0,0,0,3,0,3
New Jersey,3,3,3,3,3,0,3,0,3
New Mexico,3,3,0,3,0,0,0,0,3
New York,0,3,0,1,0,0,0,0,1
North Carolina,3,3,3,3,0,0,0,0,3
North Dakota,3,3,0,0,0,0,0,0,0
Ohio,3,3,0,0,0,0,0,0,3
Oklahoma,0,3,1,0,0,0,3,0,3
Oregon,3,3,3,3,3,0,3,0,3
Pennsylvania,0,3,0,1,0,0,1,0,1
Rhode Island,3,3,3,3,3,0,0,0,1
South Carolina,3,3,0,3,0,0,3,0,3
Tennessee,2,3,3,3,3,0,3,3,0
Texas,3,3,0,3,0,0,3,0,3
Utahξ,3,3,3,0,0,0,3,3,0
Vermont,3,3,0,3,0,0,0,0,1
Virginia,3,3,3,3,0,0,3,0,3
Washington,3,3,3,3,3,0,3,0,3
West Virginia,3,3,0,0,0,0,0,0,3
Wisconsin,0,3,0,0,0,0,3,0,3
