State_txt,healthy_relationships_txt,self_discipline_txt,personal_boundaries_txt,consent_txt,violence_prevention_txt
Alaska,No,No,No,No,Yes
Arizona,Yes,Yes,Yes,No,Yes
Arkansas,Yes,Yes,Yes,No,Yes
California,Yes,Yes,Yes,Yes,Yes
Colorado,Yes,Yes,Yes,Yes,Yes
Connecticut,Yes,Yes,No,No,Yes
Delaware,Yes,Yes,Yes,Yes,Yes
Dist. of Columbia,Yes,Yes,Yes,Yes,Yes
Florida,Yes,Yes,No,No,Yes
Georgia,No,No,Yes,No,Yes
Hawaii,Yes,Yes,No,No,No
Idaho,Yes,Yes,No,No,No
Illinois,Yes,No,Yes,Yes,Yes
Indiana,No,No,No,No,Yes
Iowa,Yes,No,No,No,Yes
Kentucky,Yes,Yes,No,No,No
Louisiana,Yes,Yes,No,No,Yes
Maine,Yes,Yes,No,No,Yes
Maryland,Yes,Yes,Yes,Yes,Yes
Massachusetts,Yes,No,No,No,Yes
Michigan,No,Yes,Yes,No,Yes
Mississippi,No,No,No,No,Yes
Missouri,No,Yes,Yes,No,Yes
Nebraska,Yes,No,No,No,Yes
Nevada,No,Yes,No,No,No
New Hampshire,No,No,No,No,Yes
New Jersey,Yes,No,Yes,Yes,Yes
New Mexico,Yes,Yes,Yes,No,Yes
North Carolina,Yes,Yes,Yes,No,Yes
Ohio,Yes,No,No,No,Yes
Oklahoma,No,No,Yes,No,No
Oregon,Yes,Yes,Yes,Yes,Yes
Pennsylvania,Yes,No,No,No,No
Rhode Island,Yes,Yes,Yes,No,Yes
South Carolina,Yes,No,Yes,Yes,Yes
Tennessee,Yes,Yes,Yes,No,Yes
Texas,Yes,Yes,Yes,No,Yes
Utah,No,No,Yes,No,Yes
Vermont,Yes,Yes,No,No,Yes
Virginia,Yes,Yes,Yes,No,Yes
Washington,Yes,Yes,Yes,Yes,Yes
West Virginia,Yes,No,Yes,No,Yes
Wisconsin,No,No,No,No,Yes
