State,healthy_relationships,self_discipline,personal_boundaries,consent,violence_prevention
Alaska,0,0,0,0,2
Arizona,2,2,2,0,2
Arkansas,2,2,2,0,2
California,2,2,2,2,2
Colorado,2,2,2,2,2
Connecticut,2,2,0,0,2
Delaware,2,2,2,2,2
Dist. of Columbia,2,2,2,2,2
Florida,2,2,0,0,2
Georgia,0,0,2,0,2
Hawaii,2,2,0,0,0
Idaho,2,2,0,0,0
Illinois,2,0,2,2,2
Indiana,0,0,0,0,2
Iowa,2,0,0,0,2
Kentucky,2,2,0,0,0
Louisiana,2,2,0,0,2
Maine,2,2,0,0,2
Maryland,2,2,2,2,2
Massachusetts,2,0,0,0,2
Michigan,0,2,2,0,2
Mississippi,0,0,0,0,2
Missouri,0,2,2,0,2
Nebraska,2,0,0,0,2
Nevada,0,2,0,0,0
New Hampshire,0,0,0,0,2
New Jersey,2,0,2,2,2
New Mexico,2,2,2,0,2
North Carolina,2,2,2,0,2
Ohio,2,0,0,0,2
Oklahoma,0,0,2,0,0
Oregon,2,2,2,2,2
Pennsylvania,2,0,0,0,0
Rhode Island,2,2,2,0,2
South Carolina,2,0,2,2,2
Tennessee,2,2,2,0,2
Texas,2,2,2,0,2
Utah,0,0,2,0,2
Vermont,2,2,0,0,2
Virginia,2,2,2,0,2
Washington,2,2,2,2,2
West Virginia,2,0,2,0,2
Wisconsin,0,0,0,0,2
