"Date Printed: Wednesday, October 14, 2020 2:27:02 PM",,,,
Title: HIV diagnoses | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories,,,,
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.,,,,
Death: Death data based on residence at death.,,,,
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, and AIDS prevalence indicators.,
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number of persons prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year.  “Population” is the annual estimated number of persons with PrEP indications. County-level data are only available for the 48 U.S. counties prioritized for Phase I of Ending the HIV Epidemic (EHE) Initiative. Total includes people categorized by IQVIA as Other race.
NA - Not applicable,,,,
,,,,
,,,,
Geography,Cases,Rate per 100000,,
Alabama,607,14.8,,
Alaska,23,3.8,,
Arizona,759,12.7,,
Arkansas,281,11.2,,
California,"4,712",14.2,,
Colorado,399,8.3,,
Connecticut,258,8.4,,
Delaware,92,11.2,,
District of Columbia,275,45.7,,
Florida,"4,573",25,,
Georgia,"2,501",28.6,,
Hawaii,70,5.9,,
Idaho,37,2.6,,
Illinois,"1,361",12.7,,
Indiana,512,9.2,,
Iowa,115,4.4,,
Kansas,155,6.4,,
Kentucky,372,9.9,,
Louisiana,972,25.2,,
Maine,30,2.6,,
Maryland,996,19.6,,
Massachusetts,650,10.9,,
Michigan,716,8.5,,
Minnesota,288,6.2,,
Mississippi,477,19.2,,
Missouri,447,8.7,,
Montana,23,2.6,,
Nebraska,79,5,,
Nevada,503,19.8,,
New Hampshire,38,3.2,,
New Jersey,"1,025",13.6,,
New Mexico,122,7,,
New York,"2,456",14.8,,
North Carolina,"1,187",13.6,,
North Dakota,36,5.8,,
Ohio,977,9.9,,
Oklahoma,280,8.6,,
Oregon,229,6.4,,
Pennsylvania,"1,023",9.4,,
Rhode Island,75,8.2,,
South Carolina,715,16.7,,
South Dakota,29,4,,
Tennessee,762,13.4,,
Texas,"4,388",18.8,,
Utah,119,4.8,,
Vermont,18,3.3,,
Virginia,858,12,,
Washington,504,8,,
West Virginia,86,5.6,,
Wisconsin,206,4.2,,
Wyoming,12,2.5,,
