state,type,total_n_total,total_n_opposite_sex_only,total_n_same_sex_only,total_n_both_sexes,total_n_same_sex_only_or_both_sexes,total_n_no_sexual_contact,female_n_total,female_n_opposite_sex_only,female_n_same_sex_only,female_n_both_sexes,female_n_same_sex_only_or_both_sexes,female_n_no_sexual_contact,male_n_total,male_n_opposite_sex_only,male_n_same_sex_only,male_n_both_sexes,male_n_same_sex_only_or_both_sexes,male_n_no_sexual_contact
AL,COND,439,384,7,41,48,0,212,173,6,30,36,0,223,211,1,11,12,0
AL,NP,444,381,9,42,51,0,215,174,7,31,38,0,224,207,2,11,13,0
AL,STD,1924,812,97,87,184,729,900,345,64,56,120,376,1007,467,33,31,64,353
AL,HIV,1949,823,104,89,193,727,916,347,70,56,126,375,1015,476,34,33,67,352
AK,COND,371,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA
AK,NP,375,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA
AK,STD,1797,NA,NA,NA,NA,NA,906,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA
AK,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,COND,344,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA
AZ,NP,340,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA
AZ,STD,1720,NA,NA,NA,NA,NA,846,NA,NA,NA,NA,NA,867,NA,NA,NA,NA,NA
AZ,HIV,1734,NA,NA,NA,NA,NA,854,NA,NA,NA,NA,NA,873,NA,NA,NA,NA,NA
AR,COND,450,380,20,46,66,0,253,202,10,40,50,0,195,178,10,6,16,0
AR,NP,454,382,20,46,66,0,253,202,10,40,50,0,199,180,10,6,16,0
AR,STD,1919,751,70,85,155,817,1003,362,39,66,105,454,900,389,31,19,50,363
AR,HIV,1911,745,68,84,152,820,997,357,38,66,104,455,897,388,30,18,48,365
CA,COND,241,213,9,18,27,0,132,112,5,14,19,0,109,101,4,4,8,0
CA,NP,237,209,9,19,28,0,132,112,5,15,20,0,105,97,4,4,8,0
CA,STD,1291,450,48,53,101,606,641,206,31,37,68,322,643,244,17,16,33,284
CA,HIV,1290,451,49,53,102,605,644,209,32,37,69,322,639,242,17,16,33,283
CO,COND,315,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA
CO,NP,301,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA
CO,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT,COND,431,349,26,49,75,0,213,162,14,36,50,0,215,187,12,13,25,0
CT,NP,430,350,26,49,75,0,213,162,14,36,50,0,214,188,12,13,25,0
CT,STD,1854,722,61,91,152,896,921,312,39,72,111,470,925,410,22,19,41,426
CT,HIV,1868,727,61,92,153,902,926,314,39,72,111,473,934,413,22,20,42,429
DE,COND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL,COND,1191,986,57,126,183,0,613,482,27,100,127,0,565,504,30,26,56,0
FL,NP,1319,1103,47,152,199,0,675,516,32,125,157,0,629,587,15,27,42,0
FL,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL,HIV,5443,2095,127,251,378,2577,2842,952,73,187,260,1474,2557,1143,54,64,118,1103
GA,COND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,STD,4434,NA,NA,NA,NA,NA,2224,NA,NA,NA,NA,NA,2162,NA,NA,NA,NA,NA
GA,HIV,4375,NA,NA,NA,NA,NA,2198,NA,NA,NA,NA,NA,2131,NA,NA,NA,NA,NA
HI,COND,1054,901,63,73,136,0,626,523,40,56,96,0,425,378,23,17,40,0
HI,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HI,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HI,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,COND,280,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA
ID,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,HIV,1198,NA,NA,NA,NA,NA,615,NA,NA,NA,NA,NA,577,NA,NA,NA,NA,NA
IL,COND,575,502,25,42,67,0,293,243,14,34,48,0,280,259,11,8,19,0
IL,NP,575,497,27,42,69,0,290,239,15,34,49,0,281,258,12,8,20,0
IL,STD,2884,1118,89,117,206,1325,1420,489,54,94,148,698,1442,629,35,23,58,627
IL,HIV,2903,1129,87,118,205,1329,1429,492,53,93,146,703,1450,637,34,25,59,626
IN,COND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
