"Used A Condom During Last Sexual Intercourse(among students who were currently sexually active) South Carolina, High School Youth Risk Behavior Survey, 2019",,,,,,,,,,,,
Sex of Sexual Contacts %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
Total,49.1 ,42.6,55.7,207,46.2,36.6,56.1,116,N/A,N/A,N/A,89
Opposite sex only,54.6,47.9,61.1,166,52.7,40.5,64.6,85,56.5,46.3,66.1,81
Same sex only,*,*,*,13,*,*,*,11,*,*,*,2
Both sexes,*,*,*,24,*,*,*,19,*,*,*,5
Same sex only or both sexes,31.0,17.9,48.1,37,32.8,14.2,58.9,30,*,*,*,7
No sexual contact,Ñ,Ñ,Ñ,0,Ñ,Ñ,Ñ,0,Ñ,Ñ,Ñ,0
,,,,,,,,,,,,
,,,,,,,,,,,,
" ÊPercentage, confidence interval, cell size",,,,,,,,,,,,
N/A < 100 respondents for the subgroup,,,,,,,,,,,,
